nick,sig,date,text,forward,comment,like,topic
山西教育招生考试,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,2,0,2,33
IN古城西安,微博个人认证,2022-01-01,【#萌娃误把咽拭子当棒棒糖紧咬不放#医护：孩子不哭也不闹】#西安疫情#1月1日，陕西西安。一核酸检测现场，萌娃在做核酸时误把咽拭子当成棒棒糖，紧咬着不松口。现场医护人员王先生称，孩子当时不哭也不闹，父母都很着急，怎么说都不松口，最后在妈妈细心劝说下，孩子才松口成功做了核酸检测。​,0,1,4,155
维护权益A公平正义,未认证,2022-01-01,"#西安疫情#实名举报陕西高级法院里的黑恶势力,颠倒黑白、巧取豪夺、鱼目混珠、残害百姓",0,0,1,-1
奔流新闻,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,0,0,9,33
我是易哈哈啊,未认证,2022-01-01,收台历明信片，除了44的都收（我买了），20左右来，能预留来（坐标陕西，疫情原因快递进不来），最好打包​,0,5,0,81
华商网,微博官方认证,2022-01-01,#陕西发布疫情期间群众就医指南#有就医需求的网友请看这里,9,7,10,-1
毕节交警,微博官方认证,2022-01-01,#疫情防控##出行提示#【刚刚，贵州发布最新疫情防控8提示】当前，全国新冠疫情形势严峻复杂。2021年12月15-31日，陕西延安市累计报告新冠肺炎本土确诊病例11例，现有中风险地区4个；12月31日，河南洛阳市新增本土无症状感染者4例，目前疫情传播链尚不明确；2022年1月1日，浙江宁波市报告发现新冠肺炎​,0,0,0,218
郑州市教育局,微博官方认证,2022-01-01,【郑州市新冠肺炎疫情防控指挥部办公室紧急提醒】12月31日，洛阳市新安县发现2名新冠肺炎无症状感染者，通过排查、检测，后又发现2名无症状感染者和4名初筛阳性病例。针对上述情况，为守护郑州市民的生命安全和身体健康，在此提醒广大市民朋友：1.有新安县旅居史的人员请立即报备。12月19日以来，有​,1,1,10,-1
三秦公益,微博个人认证,2022-01-01,【陕西汉中境内12个收费站出口临时关闭！】经陕西省应对新型冠状病毒感染肺炎疫情工作领导小组办公室同意，从2022年元月O2日10时起对汉中境内高速公路12个流量较小收费站出口临时关闭：一、十天高速5个：茶店、铺镇、盐井、沙河、茶镇收费站。二、京昆高速1个：金水收费站。三、银昆高速3个：龙头山、喜神坝、南湖收费站。四、西镇高速​,0,0,0,73
五月暖风,未认证,2022-01-01,给我妈打电话，已经从县医院出院回家了，只能躺炕上静养，受伤的腿要垫高。弟媳妇每天做饭送过来，我妈觉得躺着太无聊，又无可奈何。平时忙忙碌碌风风火火的，现在就像坐牢。说起西安的疫情，因为老家离西安很近，高铁一个多小时，黄河对面就是陕西。所以村里控制严格：几个方向的路口都封住，只留一​,0,2,0,-1
战至终章123,未认证,2022-01-01,新的一年，早日回家，疫情快快过去，学有所成，一起加油。#青年眼中的传承##传承的力量大#​​​@延安大学新青年传媒@中国青年报@中青校媒陕西@爱踢答人@爱Khuntoria的魔女@陈震同学2延安·延安大学新校区​,0,0,0,6
陕西秦之声,微博官方认证,2022-01-01,全天候直播|疫情就是命令防控就是责任融媒大直播（1月2日）陕西广电融媒体集团在陕西卫视、陕西一套、二套、三套电视频道同步推出“疫情就是命令防控就是责任”直播特别节目，每天7：00到8：00，10：00到13:00，16:00到21:00，三个时段9个小时持续报道我省坚决打赢疫情防控阻击战歼灭战的坚定信​,1,0,0,79
西安发布,微博官方认证,2022-01-01,#西安战疫众志成城#【陕西发布疫情期间群众就医指南】1月1日，陕西省应对疫情领导小组医疗救治组、新闻宣传组联合发布疫情期间群众就医指南，现将内容公布如下：普通群众诊疗省卫生健康委每日在官网疫情防控医疗救治专栏，更新公布西安市内各三级医院运行状态，提供精准就医服务信息。西安市二级​,81,23,51,145
大庆市中级人民法院,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,6,6,2,33
沈阳校园,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,0,0,1,33
白水法院,微博官方认证,2022-01-01,#共克时艰陕法人与你在一起#【下沉！陕西高院迅速响应省委组织部疫情防控工作号召】,0,0,2,138
攀枝花综合广播,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,0,0,2,33
成都国际铁路港,微博官方认证,2022-01-01,1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带来了便利，希望更多高校的学生借此机会互相学习，在学校需要时贡献自己的力​,0,0,0,33
大河报,微博官方认证,2022-01-01,#豫剧秦腔联手唱出抗疫戏#【#河南灵宝连夜装载7.5万斤蔬菜驰援西安#】连日来，陕西西安的疫情牵动着全国人民的心。面对疫情防控的复杂形势，2021年12月30日，5辆载满7.5万斤蔬菜的货车从灵宝驶出，载着灵宝人民的情谊驶往陕西西安。据悉，此次的蔬菜物资捐赠是灵宝市机关事务管理局按照市委、市政府安​,2,9,19,51
起点新闻,微博官方认证,2022-01-01,【愿疫情早日结束！#民间歌手创作歌曲助力抗击疫情#】12月31日，陕西民间歌手吴晶历时一天时间，创作抗疫歌曲《渭城最美》为咸阳加油，吴晶介绍，当看到坚守在疫情防控一线的工作人员24小时辛苦值守，全社会齐心协力共抗疫情时，便想着创作一首抗疫歌曲，助力抗击疫情，愿疫情早日结束。（陕西广电融媒​,2,0,7,-1
西部网,微博官方认证,2022-01-01,【#陕西发布疫情期间群众就医指南#】1月1日，陕西省应对疫情领导小组医疗救治组、新闻宣传组联合发布疫情期间群众就医指南，现将内容公布如下：（详情戳O陕西发布疫情期间群众就医指南）普通群众诊疗省卫生健康委每日在官网疫情防控医疗救治专栏，更新公布西安市内各三级医院运行状态，提供精准就医服务​,0,0,0,145
张弓100,未认证,2022-01-01,日八歘--这是我今天学懂的一句陕西话，西安在疫情防控上日八歘，在生活物资保障日八歘，在人员组织管理上日八歘，因为西安的官员只会日八歘。感觉诸葛亮运军粮可能还会比这科学些硬是把一个5G时代过成了古代，人力传输，除了让工作人员累一些，我看不到什么值得表扬的,0,1,0,-1
SMC西安站,微博官方认证,2022-01-01,【紧急通知！#陕西要求解决城中村外来务工人员基本生活困难#】1月1日，为保证外来务工人员等特殊困难群体基本生活，坚决防止冲击社会道德底线的事件发生，陕西民政厅发布紧急通知！迅速行动、掌握实情。采用热线电话、线上收集等方式对近期受疫情影响，尤其是城中村外来务工人员等困难群众基本生活​,0,0,0,195
河南法制报,微博官方认证,2022-01-01,【#陕西省人民医院医疗服务全面停止#】记者从陕西省人民医院获悉，根据国务院联防联控机制派陕西工作组和陕西省疫情防控指挥部指令，该院被确定为新冠肺炎定点收治医院，从2022年1月1日17时30分起，该院门诊、急诊、发热门诊全面停止医疗服务，启用时间另行通知。（央视新闻）​​​⑯​,0,0,1,64
交通954,微博官方认证,2022-01-01,【#陕西省人民医院医疗服务全面停止#】记者从陕西省人民医院获悉，根据国务院联防联控机制派陕西工作组和陕西省疫情防控指挥部指令，该院被确定为新冠肺炎定点收治医院，从2022年1月1日17时30分起，该院门诊、急诊、发热门诊全面停止医疗服务，启用时间另行通知。（央视）​​​,0,0,0,64
汉中中院,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,0,0,2,33
徐州市疾控中心,微博官方认证,2022-01-01,【1.1】风险等级调整+疫情防控提示截至2022年1月1日15时，全国现有2个高风险地区（涉及陕西省西安市，广西防城港市），68个中风险地区（涉及陕西省西安市、延安市，广东省东莞市，广西防城港市，云南省昆明市，浙江省宁波市）。高风险地区（2）陕西省西安市（1）：雁塔区小寨路街道长安大学社区。​,0,0,0,21
河南交通广播,微博官方认证,2022-01-01,【#高校给4000多间宿舍送零食盲盒跨年#】12月31日，陕西西安。今年西安的高校学生都在宿舍跨年，西安工程大学在克服疫情管控、物资紧缺的情况，为两校区的4000余间宿舍送来了零食盲盒，希望学生能在跨年这个节点感受到来自学校的关心和温暖。学生雷鑫冉说，零食礼包里有小点心、瓜子等。舍友们收到礼物​,0,0,2,150
陕铁青年,微博官方认证,2022-01-01,"#工程管理与物流学院微分享#为了做好防控疫情期间学生宿舍安全稳定管理和学生心理健康教育工作，管理学院在2021年的最后一天开展“迎新春、送温暖、战疫情""慰问活动。学院党总支书记郗春荣、副院长裴清福，学工办主任郭联俊以及辅导员给每个宿舍送去了大大的“福”字和春联。老师和学生们高兴地把“福​",0,0,2,70
陕西书画艺术圈,未认证,2022-01-01,古萃泉健康商学院捐赠1000斤大白菜保障西安工业大学疫情防控工作目前西安市疫情防控形势依然严峻，1月1日下午，陕西省国际文化交流基金会孝道文化基金工作委员会(以下称孝工委)、中华孝道文化公益联盟、西安市碑林区文化旅游产业联盟(以下称联盟)，通过中共西安市碑林区委、区政府有关领导联系对接，​,0,0,0,-1
wu哈哈哈哈哈,未认证,2022-01-01,#财政部下拨5亿支持陕西防疫##西安疫情#已收到来自政府的爱心菜，感恩​,0,0,0,16
德润鸡冠,微博官方认证,2022-01-01,国内疫情风险等级情况（截止2022年1月1日21时）✭高风险地区（2个）西安市（1个）：雁塔区小寨路街道长安大学社区广西壮族自治区（1个）：防城港市东兴市江平镇万尾村✭中风险地区（69个）陕西省（63个）：西安市雁塔区大雁塔街道西安市雁塔区等驾坡街道西安市雁塔区电子城街道​,0,0,0,21
小鹅教育,未认证,2022-01-01,陕西2021年下半年中小学教师资格证考试面试延期鉴于陕西省新冠肺炎疫情防控最新形势和近阶段疫情发展的不确定性，为保障广大考生和涉考工作人员生命安全和身体健康，经研究并请示教育部同意，我省2021年下半年中小学教师资格考试面试推迟，合并至2022年上半年中小学教师资格考试面试一并组织实施。本​,0,1,0,-1
郑州广播电视台,微博官方认证,2022-01-01,【郑州市新冠肺炎疫情防控指挥部办公室紧急提醒】12月31日，洛阳市新安县发现2名新冠肺炎无症状感染者，通过排查、检测，后又发现2名无症状感染者和4名初筛阳性病例。针对上述情况，为守护郑州市民的生命安全和身体健康，在此提醒广大市民朋友：1.有新安县旅居史的人员请立即报备。12月19日以来，有洛​,1,0,1,-1
铜仁发布,微博官方认证,2022-01-01,#谁没有儿女情长但家国为重#【西安7岁女儿留言警察妈妈看到后瞬间泪奔】近日，陕西西安一位警察妈妈因为疫情坚守在一线，家里7岁的女儿想念妈妈，又怕打扰她工作，就留言：“妈妈我每天自己睡觉好害怕”。警察妈妈看到瞬间泪奔……“谁没有儿女情长，但这种时候家国为重！”向召之即来，来即能战的警​,0,0,0,230
中访网财观,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生​,0,0,0,33
